"","Player","Team","Position","Game.ID","Date","Home","Away","G","A1","A2","PTS","PrPTS","GS","SOG","eGF","eGA","GF.","PPG","PPA1","PPA2","SHG","SHA1","SHA2","FOW","FOL","PIM","Blk","TO","SV","GA","Season"
"1375","Brianne McLaughlin","BUF","G","14689598","2017-02-04","MET","BUF",0,0,0,0,0,1.06,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,29,3,2016
"1376","Corinne Buie","BUF","F","14689598","2017-02-04","MET","BUF",1,0,0,1,1,1.44,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"1377","Courtney Burke","MET","D","14689598","2017-02-04","MET","BUF",0,0,1,1,0,1.08,4,1,1,0.5,0,0,0,0,0,0,0,0,0,2,0,0,0,2016
"1378","Devon Skeats","BUF","F","14689598","2017-02-04","MET","BUF",0,0,0,0,0,-0.06,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2016
"1379","Emily Janiga","BUF","F","14689598","2017-02-04","MET","BUF",0,1,0,1,1,0.83,0,1,0,1,0,0,0,0,0,0,12,9,2,0,0,0,0,2016
"1380","Harrison Browne","BUF","F","14689598","2017-02-04","MET","BUF",0,0,0,0,0,-0.06,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2016
"1381","Jacquie Greco","BUF","D","14689598","2017-02-04","MET","BUF",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"1382","Janine Weber","MET","F","14689598","2017-02-04","MET","BUF",1,0,0,1,1,0.38,2,1,1,0.5,0,0,0,0,0,0,9,16,0,1,0,0,0,2016
"1383","Jordyn Burns","BUF","D","14689598","2017-02-04","MET","BUF",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2016
"1384","Kaleigh Fratkin","MET","D","14689598","2017-02-04","MET","BUF",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2016
"1385","Katie  Fitzgerald","MET","G","14689598","2017-02-04","MET","BUF",0,0,0,0,0,1.08,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,22,2,2016
"1386","Kayla Parsons","BUF","D","14689598","2017-02-04","MET","BUF",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2016
"1387","Kelley Steadman","BUF","F","14689598","2017-02-04","MET","BUF",0,0,0,0,0,0.89,7,1,1,0.5,0,0,0,0,0,0,1,0,0,3,0,0,0,2016
"1388","Kiira Dosdall","MET","D","14689598","2017-02-04","MET","BUF",0,1,0,1,1,0.47,0,2,1,0.67,0,0,0,0,0,0,0,0,2,1,0,0,0,2016
"1389","Kourtney Kunichika","BUF","F","14689598","2017-02-04","MET","BUF",0,1,0,1,1,0.37,3,1,3,0.25,0,0,0,0,0,0,7,12,0,0,0,0,0,2016
"1390","Lauren Wash","MET","F","14689598","2017-02-04","MET","BUF",0,0,0,0,0,0.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,2016
"1391","Madison Packer","MET","F","14689598","2017-02-04","MET","BUF",0,0,0,0,0,0.33,3,1,1,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,2016
"1392","Megan Bozek","BUF","D","14689598","2017-02-04","MET","BUF",0,0,1,1,0,1.3,6,0,0,NA,0,0,0,0,0,0,0,0,0,5,0,0,0,2016
"1393","Michelle Picard","MET","D","14689598","2017-02-04","MET","BUF",0,0,0,0,0,0.33,3,1,1,0.5,0,0,0,0,0,0,0,0,0,1,2,0,0,2016
"1394","Milica McMillen","MET","D","14689598","2017-02-04","MET","BUF",0,0,1,1,0,0.69,2,2,1,0.67,0,0,0,0,0,0,0,0,2,2,0,0,0,2016
"1395","Miye D'Oench","MET","F","14689598","2017-02-04","MET","BUF",0,0,1,1,0,0.71,5,1,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,2016
"1396","Morgan Beikirich","BUF","F","14689598","2017-02-04","MET","BUF",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2016
"1397","Paige Harrington","BUF","D","14689598","2017-02-04","MET","BUF",0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2016
"1398","Rebecca Russo","MET","F","14689598","2017-02-04","MET","BUF",0,0,0,0,0,0.33,3,1,1,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,2016
"1399","Sarah Casorso","BUF","D","14689598","2017-02-04","MET","BUF",0,0,0,0,0,0.11,1,2,2,0.5,0,0,0,0,0,0,0,0,0,3,1,0,0,2016
"1400","Shiann Darkangelo","BUF","F","14689598","2017-02-04","MET","BUF",1,0,0,1,1,1.47,1,1,1,0.5,0,0,0,0,0,0,7,4,0,0,0,0,0,2016
"1401","Tatiana Rafter","MET","F","14689598","2017-02-04","MET","BUF",1,0,0,1,1,1.8,4,1,0,1,0,0,0,0,0,0,6,3,0,1,0,0,0,2016
"1402","Alex Carpenter","BOS","F","14689601","2017-02-04","BOS","CTW",1,2,0,3,3,3.08,4,2,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,2016
"1403","Alexandra Bender","BOS","D","14689601","2017-02-04","BOS","CTW",0,1,0,1,1,0.75,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"1404","Alyssa Gagliardi","BOS","D","14689601","2017-02-04","BOS","CTW",0,0,0,0,0,0.44,4,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,2016
"1405","Amanda Pelkey","BOS","F","14689601","2017-02-04","BOS","CTW",0,0,0,0,0,-0.23,1,1,1,0.5,0,0,0,0,0,0,0,0,4,0,0,0,0,2016
"1406","Anya Battaglino","CTW","F","14689601","2017-02-04","BOS","CTW",0,0,0,0,0,-0.06,1,1,1,0.5,0,0,0,0,0,0,0,0,2,0,0,0,0,2016
"1407","Blake Bolden","BOS","D","14689601","2017-02-04","BOS","CTW",0,1,0,1,1,0.47,0,1,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,2016
"1408","Brianna Decker","BOS","F","14689601","2017-02-04","BOS","CTW",1,0,0,1,1,1.34,2,0,0,NA,1,0,0,0,0,0,10,9,0,0,0,0,0,2016
"1409","Brittany Ott","BOS","G","14689601","2017-02-04","BOS","CTW",0,0,0,0,0,0.8,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,20,2,2016
"1410","Dana Trivigno","CTW","F","14689601","2017-02-04","BOS","CTW",0,0,1,1,0,0.16,0,1,1,0.5,0,0,1,0,0,0,4,8,0,0,0,0,0,2016
"1411","Elena Orlando","CTW","D","14689601","2017-02-04","BOS","CTW",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"1412","Emily Field","BOS","F","14689601","2017-02-04","BOS","CTW",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"1413","Gigi Marvin","BOS","D","14689601","2017-02-04","BOS","CTW",0,0,2,2,0,1.39,1,1,1,0.5,0,0,2,0,0,0,0,0,0,1,0,0,0,2016
"1414","Haley Skarupa","CTW","F","14689601","2017-02-04","BOS","CTW",1,0,0,1,1,1.55,5,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,2016
"1415","Hilary Knight","BOS","F","14689601","2017-02-04","BOS","CTW",0,0,0,0,0,0.5,5,0,0,NA,0,0,0,0,0,0,1,0,2,0,0,0,0,2016
"1416","Jillian Dempsey","BOS","F","14689601","2017-02-04","BOS","CTW",0,0,1,1,0,0.95,5,2,0,1,0,0,0,0,0,0,3,5,0,0,0,0,0,2016
"1417","Jordan Smelker","BOS","F","14689601","2017-02-04","BOS","CTW",0,0,0,0,0,0.21,3,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,2016
"1418","Juana Baribeau","CTW","F","14689601","2017-02-04","BOS","CTW",0,0,0,0,0,-0.06,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2016
"1419","Kacey Bellamy","BOS","D","14689601","2017-02-04","BOS","CTW",1,0,0,1,1,1.22,2,3,1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"1420","Kaliya Johnson","CTW","D","14689601","2017-02-04","BOS","CTW",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"1421","Kelli Stack","CTW","F","14689601","2017-02-04","BOS","CTW",0,1,0,1,1,1.33,3,0,0,NA,0,1,0,0,0,0,14,11,0,0,0,0,0,2016
"1422","Kelly Babstock","CTW","F","14689601","2017-02-04","BOS","CTW",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,0,0,0,0,0,2016
"1423","Meagan Mangene","CTW","D","14689601","2017-02-04","BOS","CTW",0,0,0,0,0,-0.06,1,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2016
"1424","Meghan   Huertas","CTW","F","14689601","2017-02-04","BOS","CTW",0,0,0,0,0,-0.34,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2016
"1425","Meghan Duggan","BOS","F","14689601","2017-02-04","BOS","CTW",2,1,0,3,3,3.64,8,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2016
"1426","Micaela Long","CTW","F","14689601","2017-02-04","BOS","CTW",1,0,0,1,1,1.22,2,1,2,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"1427","Nicole Connery","CTW","F","14689601","2017-02-04","BOS","CTW",0,0,0,0,0,0.22,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"1428","Nicole Kosta","CTW","F","14689601","2017-02-04","BOS","CTW",0,0,1,1,0,0.52,0,1,2,0.33,0,0,0,0,0,0,1,2,0,0,0,0,0,2016
"1429","Rachel Llanes","BOS","F","14689601","2017-02-04","BOS","CTW",0,0,0,0,0,0.1,2,1,1,0.5,0,0,0,0,0,0,7,8,0,0,0,0,0,2016
"1430","Sam Faber","CTW","F","14689601","2017-02-04","BOS","CTW",0,0,0,0,0,0.22,2,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"1431","Shannon Doyle","CTW","D","14689601","2017-02-04","BOS","CTW",0,1,0,1,1,1.08,4,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"1432","Shenae Lundberg","CTW","G","14689601","2017-02-04","BOS","CTW",0,0,0,0,0,-0.38,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,33,5,2016
"1433","Zoe Hickel","BOS","F","14689601","2017-02-04","BOS","CTW",0,0,0,0,0,-0.17,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2016
"1434","Alex Carpenter","BOS","F","14689606","2017-02-18","BOS","BUF",0,1,0,1,1,1.55,5,2,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,2016
"1435","Alexandra Bender","BOS","D","14689606","2017-02-18","BOS","BUF",1,0,0,1,1,1.11,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"1436","Alyssa Gagliardi","BOS","D","14689606","2017-02-18","BOS","BUF",0,0,0,0,0,0.22,2,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,2016
"1437","Amanda Leveille","BUF","G","14689606","2017-02-18","BOS","BUF",0,0,0,0,0,2.32,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,38,3,2016
"1438","Amanda Pelkey","BOS","F","14689606","2017-02-18","BOS","BUF",0,0,0,0,0,0.45,3,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
"1439","Ashley Vesci","BUF","F","14689606","2017-02-18","BOS","BUF",0,0,0,0,0,0.22,2,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"1440","Blake Bolden","BOS","D","14689606","2017-02-18","BOS","BUF",0,0,0,0,0,0.11,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2016
"1441","Brianna Decker","BOS","F","14689606","2017-02-18","BOS","BUF",0,1,1,2,1,2.2,4,2,0,1,0,0,0,0,0,0,12,8,0,0,0,0,0,2016
"1442","Corinne Buie","BUF","F","14689606","2017-02-18","BOS","BUF",0,0,0,0,0,0.11,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"1443","Emily Field","BOS","F","14689606","2017-02-18","BOS","BUF",0,0,0,0,0,0.23,1,0,0,NA,0,0,0,0,0,0,1,0,0,2,0,0,0,2016
"1444","Emily Janiga","BUF","F","14689606","2017-02-18","BOS","BUF",1,0,0,1,1,2.05,3,0,0,NA,0,0,0,0,0,0,10,4,0,0,1,0,0,2016
"1445","Emily Pfalzer","BUF","D","14689606","2017-02-18","BOS","BUF",0,0,0,0,0,0.44,4,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016
"1446","Gigi Marvin","BOS","D","14689606","2017-02-18","BOS","BUF",0,0,1,1,0,0.75,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"1447","Harrison Browne","BUF","F","14689606","2017-02-18","BOS","BUF",0,0,0,0,0,-0.24,2,0,2,0,0,0,0,0,0,0,0,1,4,2,0,0,0,2016
"1448","Hilary Knight","BOS","F","14689606","2017-02-18","BOS","BUF",1,1,0,2,2,2.46,9,2,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,2016
"1449","Jacquie Greco","BUF","D","14689606","2017-02-18","BOS","BUF",0,0,0,0,0,0.22,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016
"1450","Jillian Dempsey","BOS","F","14689606","2017-02-18","BOS","BUF",0,0,1,1,0,0.5,2,1,0,1,0,0,0,0,0,0,3,6,0,1,0,0,0,2016
"1451","Jordan Smelker","BOS","F","14689606","2017-02-18","BOS","BUF",0,0,0,0,0,0.44,4,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,2016
"1452","Kacey Bellamy","BOS","D","14689606","2017-02-18","BOS","BUF",0,0,0,0,0,0.05,2,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2016
"1453","Kourtney Kunichika","BUF","F","14689606","2017-02-18","BOS","BUF",0,0,0,0,0,-0.07,2,0,2,0,0,0,0,0,0,0,10,11,2,0,0,0,0,2016
"1454","Kristina Lavoie","BUF","D","14689606","2017-02-18","BOS","BUF",0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,2016
"1455","Lauren Slebodnick","BOS","G","14689606","2017-02-18","BOS","BUF",0,0,0,0,0,2.22,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,23,1,2016
"1456","Megan Bozek","BUF","D","14689606","2017-02-18","BOS","BUF",0,0,0,0,0,0.55,5,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,2016
"1457","Meghan Duggan","BOS","F","14689606","2017-02-18","BOS","BUF",1,0,0,1,1,0.99,3,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,2016
"1458","Rachel Llanes","BOS","F","14689606","2017-02-18","BOS","BUF",0,0,0,0,0,-0.02,2,0,0,NA,0,0,0,0,0,0,8,10,0,0,0,0,0,2016
"1459","Sarah Casorso","BUF","D","14689606","2017-02-18","BOS","BUF",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"1460","Shiann Darkangelo","BUF","F","14689606","2017-02-18","BOS","BUF",0,0,0,0,0,-0.68,3,0,2,0,0,0,0,0,0,0,5,12,2,1,0,0,0,2016
"1461","Alexa Gruschow","MET","F","14689610","2017-02-19","MET","CTW",0,0,0,0,0,-0.04,4,0,2,0,0,0,0,0,0,0,8,12,0,1,0,0,0,2016
"1462","Amanda Kessel","MET","F","14689610","2017-02-19","MET","CTW",0,4,0,4,4,2.89,3,3,2,0.6,0,1,0,0,1,0,0,0,0,0,0,0,0,2016
"1463","Ashley Johnston","MET","D","14689610","2017-02-19","MET","CTW",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2016
"1464","Bray Ketchum","MET","F","14689610","2017-02-19","MET","CTW",0,0,0,0,0,0.22,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"1465","Courtney Burke","MET","D","14689610","2017-02-19","MET","CTW",1,0,0,1,1,1.44,4,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"1466","Cydney Roesler","CTW","D","14689610","2017-02-19","MET","CTW",0,0,1,1,0,0.18,0,3,1,0.75,0,0,0,0,0,0,0,1,4,1,0,0,0,2016
"1467","Dana Trivigno","CTW","F","14689610","2017-02-19","MET","CTW",0,0,0,0,0,0.34,2,2,0,1,0,0,0,0,0,0,5,4,0,0,0,0,0,2016
"1468","Elena Orlando","CTW","D","14689610","2017-02-19","MET","CTW",0,0,0,0,0,-0.17,0,3,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,2016
"1469","Haley Skarupa","CTW","F","14689610","2017-02-19","MET","CTW",0,1,1,2,1,1.72,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"1470","Janine Weber","MET","F","14689610","2017-02-19","MET","CTW",2,0,2,4,2,3.84,4,3,1,0.75,0,0,0,1,0,0,10,9,0,0,0,0,0,2016
"1471","Kaleigh Fratkin","MET","D","14689610","2017-02-19","MET","CTW",0,1,0,1,1,0.75,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
"1472","Kaliya Johnson","CTW","D","14689610","2017-02-19","MET","CTW",0,1,0,1,1,0.86,2,2,1,0.67,0,0,0,0,0,0,0,0,0,2,0,0,0,2016
"1473","Katie  Fitzgerald","MET","G","14689610","2017-02-19","MET","CTW",0,0,0,0,0,-1.62,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,17,4,2016
"1474","Kelli Stack","CTW","F","14689610","2017-02-19","MET","CTW",2,0,0,2,2,2.82,2,2,0,1,0,0,0,0,0,0,13,8,0,1,1,0,0,2016
"1475","Kelly Babstock","CTW","F","14689610","2017-02-19","MET","CTW",1,0,0,1,1,1.35,1,1,3,0.25,0,0,0,0,0,0,5,3,0,0,0,0,0,2016
"1476","Kiira Dosdall","MET","D","14689610","2017-02-19","MET","CTW",0,0,0,0,0,0,0,1,3,0.25,0,0,0,0,0,0,0,0,0,1,0,0,0,2016
"1477","Madison Packer","MET","F","14689610","2017-02-19","MET","CTW",1,0,0,1,1,0.51,3,0,2,0,1,0,0,0,0,0,0,4,4,0,0,0,0,2016
"1478","Meagan Mangene","CTW","D","14689610","2017-02-19","MET","CTW",0,1,0,1,1,0.64,0,2,1,0.67,0,0,0,0,0,0,0,0,0,2,1,0,0,2016
"1479","Meghan   Huertas","CTW","F","14689610","2017-02-19","MET","CTW",0,0,0,0,0,-0.34,0,1,2,0.33,0,0,0,0,0,0,0,0,4,2,0,0,0,2016
"1480","Micaela Long","CTW","F","14689610","2017-02-19","MET","CTW",0,0,0,0,0,0.06,1,2,3,0.4,0,0,0,0,0,0,1,0,2,0,2,0,0,2016
"1481","Michelle Picard","MET","D","14689610","2017-02-19","MET","CTW",1,0,1,2,1,1.86,2,2,2,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,2016
"1482","Milica McMillen","MET","D","14689610","2017-02-19","MET","CTW",0,0,1,1,0,0.58,1,2,1,0.67,0,0,1,0,0,0,0,0,2,1,0,0,0,2016
"1483","Miye D'Oench","MET","F","14689610","2017-02-19","MET","CTW",1,0,0,1,1,0.98,2,1,2,0.33,1,0,0,0,0,0,1,3,0,0,0,0,0,2016
"1484","Nicole Connery","CTW","F","14689610","2017-02-19","MET","CTW",0,2,0,2,2,1.64,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2016
"1485","Nicole Kosta","CTW","F","14689610","2017-02-19","MET","CTW",0,0,1,1,0,1.09,3,1,3,0.25,0,0,0,0,0,0,7,6,0,0,0,0,0,2016
"1486","Nicole Stock","CTW","G","14689610","2017-02-19","MET","CTW",0,0,0,0,0,-2.08,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,28,6,2016
"1487","Rebecca Russo","MET","F","14689610","2017-02-19","MET","CTW",0,1,1,2,1,1.84,4,1,3,0.25,0,0,1,0,0,0,1,0,0,0,0,0,0,2016
"1488","Sam Faber","CTW","F","14689610","2017-02-19","MET","CTW",0,0,0,0,0,0.22,2,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"1489","Sarah  Bryant","MET","G","14689610","2017-02-19","MET","CTW",0,0,0,0,0,-0.86,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,2016
"1490","Tatiana Rafter","MET","F","14689610","2017-02-19","MET","CTW",0,0,0,0,0,-0.04,4,0,0,NA,0,0,0,0,0,0,2,6,0,0,0,0,0,2016
"1491","Zoe Hickel","CTW","F","14689610","2017-02-19","MET","CTW",2,0,0,2,2,2.32,6,2,1,0.67,0,0,0,0,0,0,0,0,4,0,0,0,0,2016
"1492","Alex Carpenter","BOS","F","14689618","2017-02-24","CTW","BOS",0,0,0,0,0,1.16,4,0,0,NA,0,0,0,0,0,0,6,0,0,0,0,0,0,2016
"1493","Alexandra Bender","BOS","D","14689618","2017-02-24","CTW","BOS",0,1,0,1,1,0.69,2,0,0,NA,0,1,0,0,1,0,0,0,2,2,0,0,0,2016
"1494","Alyssa Gagliardi","BOS","D","14689618","2017-02-24","CTW","BOS",0,0,0,0,0,0.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"1495","Amanda Pelkey","BOS","F","14689618","2017-02-24","CTW","BOS",0,0,0,0,0,0.33,3,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"1496","Anya Battaglino","CTW","F","14689618","2017-02-24","CTW","BOS",0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,2016
"1497","Blake Bolden","BOS","D","14689618","2017-02-24","CTW","BOS",0,0,0,0,0,0.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"1498","Brianna Decker","BOS","F","14689618","2017-02-24","CTW","BOS",1,2,1,4,3,4.76,10,0,0,NA,0,0,1,0,1,1,23,14,4,1,1,0,0,2016
"1499","Brittany Ott","BOS","G","14689618","2017-02-24","CTW","BOS",0,0,0,0,0,-2.16,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,6,3,2016
"1500","Cydney Roesler","CTW","D","14689618","2017-02-24","CTW","BOS",0,0,0,0,0,-0.06,1,0,0,NA,0,0,0,0,0,0,0,0,2,2,1,0,0,2016
"1501","Dana Trivigno","CTW","F","14689618","2017-02-24","CTW","BOS",0,1,0,1,1,-0.56,2,0,0,NA,0,1,0,0,0,0,4,13,4,0,0,0,0,2016
"1502","Elena Orlando","CTW","D","14689618","2017-02-24","CTW","BOS",0,0,0,0,0,0.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,1,1,0,0,2016
"1503","Emily Field","BOS","F","14689618","2017-02-24","CTW","BOS",1,0,0,1,1,1.33,3,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"1504","Gigi Marvin","BOS","D","14689618","2017-02-24","CTW","BOS",1,0,0,1,1,1.44,4,0,0,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,2016
"1505","Haley Skarupa","CTW","F","14689618","2017-02-24","CTW","BOS",0,2,0,2,2,1.72,4,0,0,NA,0,0,0,0,0,0,0,0,0,2,1,0,0,2016
"1506","Hilary Knight","BOS","F","14689618","2017-02-24","CTW","BOS",1,1,1,3,2,3.29,7,0,0,NA,1,0,0,1,0,1,2,0,0,0,0,0,0,2016
"1507","Jillian Dempsey","BOS","F","14689618","2017-02-24","CTW","BOS",0,0,0,0,0,0.36,0,0,0,NA,0,0,0,0,0,0,7,4,0,1,0,0,0,2016
"1508","Jordan Smelker","BOS","F","14689618","2017-02-24","CTW","BOS",1,0,1,2,1,1.8,3,0,0,NA,1,0,0,1,0,0,0,0,2,0,0,0,0,2016
"1509","Juana Baribeau","CTW","F","14689618","2017-02-24","CTW","BOS",0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,2016
"1510","Kacey Bellamy","BOS","D","14689618","2017-02-24","CTW","BOS",0,0,0,0,0,0.55,5,0,0,NA,0,0,0,0,0,0,0,0,0,2,0,0,0,2016
"1511","Kaliya Johnson","CTW","D","14689618","2017-02-24","CTW","BOS",0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,3,0,0,0,2016
"1512","Kelli Stack","CTW","F","14689618","2017-02-24","CTW","BOS",1,0,1,2,1,1.84,4,0,0,NA,0,0,1,0,0,0,14,16,0,0,0,0,0,2016
"1513","Kelly Babstock","CTW","F","14689618","2017-02-24","CTW","BOS",1,1,0,2,2,1.29,1,0,0,NA,0,0,0,0,0,0,6,7,4,0,0,0,0,2016
"1514","Lauren Slebodnick","BOS","G","14689618","2017-02-24","CTW","BOS",0,0,0,0,0,0.68,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,12,1,2016
"1515","Meghan Duggan","BOS","F","14689618","2017-02-24","CTW","BOS",0,0,0,0,0,0.15,6,0,0,NA,0,0,0,0,0,0,1,1,6,0,0,0,0,2016
"1516","Micaela Long","CTW","F","14689618","2017-02-24","CTW","BOS",0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"1517","Nicole Connery","CTW","F","14689618","2017-02-24","CTW","BOS",0,0,0,0,0,-0.37,1,0,0,NA,0,0,0,0,0,0,1,5,0,1,0,0,0,2016
"1518","Nicole Kosta","CTW","F","14689618","2017-02-24","CTW","BOS",1,0,0,1,1,1.08,4,0,0,NA,0,0,0,0,0,0,1,4,0,2,1,0,0,2016
"1519","Rachel Llanes","BOS","F","14689618","2017-02-24","CTW","BOS",0,0,0,0,0,-0.01,1,0,0,NA,0,0,0,0,0,0,6,7,0,1,0,0,0,2016
"1520","Sam Faber","CTW","F","14689618","2017-02-24","CTW","BOS",0,0,0,0,0,-0.23,1,0,0,NA,0,0,0,0,0,0,0,0,4,0,0,0,0,2016
"1521","Shannon Doyle","CTW","D","14689618","2017-02-24","CTW","BOS",0,0,1,1,0,0.86,2,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,2016
"1522","Shenae Lundberg","CTW","G","14689618","2017-02-24","CTW","BOS",0,0,0,0,0,1.3,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,45,5,2016
"1523","Zoe Hickel","CTW","F","14689618","2017-02-24","CTW","BOS",1,0,0,1,1,1.11,1,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,2016
"1524","Anya Battaglino","CTW","F","14689622","2017-02-26","BUF","CTW",0,0,0,0,0,-0.34,0,1,0,1,0,0,0,0,0,0,0,0,4,2,0,0,0,2016
"1525","Brianne McLaughlin","BUF","G","14689622","2017-02-26","BUF","CTW",0,0,0,0,0,0.62,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,33,4,2016
"1526","Corinne Buie","BUF","F","14689622","2017-02-26","BUF","CTW",0,1,0,1,1,0.97,3,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,2016
"1527","Cydney Roesler","CTW","D","14689622","2017-02-26","BUF","CTW",0,0,1,1,0,1.08,4,2,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,2016
"1528","Dana Trivigno","CTW","F","14689622","2017-02-26","BUF","CTW",0,0,0,0,0,0.81,3,0,1,0,0,0,0,0,0,0,11,7,0,0,0,0,0,2016
"1529","Devon Skeats","BUF","F","14689622","2017-02-26","BUF","CTW",0,0,0,0,0,-0.06,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2016
